screen,file,element,x,y,width,height,canvas
share,share/01_back.png,返回箭头,33,39,40,44,941x1672
share,share/02_page_title.png,页面标题,349,38,246,45,941x1672
share,share/03_mini_program_menu.png,小程序菜单,718,34,196,62,941x1672
share,share/04_share_poster.png,分享海报卡片（含海报内部内容）,93,143,755,1186,941x1672
share,share/05_generate_poster.png,生成长图按钮,136,1367,300,75,941x1672
share,share/06_save_image.png,保存图片按钮,502,1367,304,75,941x1672
share,share/07_share_button.png,分享给朋友主按钮,84,1474,772,103,941x1672
share,share/08_privacy_note.png,隐私说明,255,1607,441,45,941x1672
home,home/01_brand.png,品牌标识与名称,35,42,250,81,863x1822
home,home/02_mini_program_menu.png,小程序菜单,646,43,189,74,863x1822
home,home/03_my_plans.png,我的计划按钮,639,165,203,68,863x1822
home,home/04_hero_title.png,首页主标题,48,253,577,218,863x1822
home,home/05_leaf_decoration.png,右侧植物装饰,620,257,243,261,863x1822
home,home/06_forecast_card.png,分红预测主卡片（含金额、图表、按钮）,30,517,804,862,863x1822
home,home/07_retirement_goal.png,退休计划卡片,30,1401,382,301,863x1822
home,home/08_education_goal.png,子女教育金卡片,436,1401,393,301,863x1822
home,home/09_risk_notice.png,风险提示,30,1723,802,97,863x1822
results,results/01_back.png,返回箭头,32,24,44,48,941x1672
results,results/02_page_title.png,页面标题,362,21,214,53,941x1672
results,results/03_more.png,更多按钮,857,31,52,32,941x1672
results,results/04_income_hero.png,月分红预测主卡片,29,101,883,322,941x1672
results,results/05_goal_progress.png,目标达成进度条,31,439,881,101,941x1672
results,results/06_asset_stat.png,期末资产指标卡,31,560,434,163,941x1672
results,results/07_contribution_stat.png,累计投入指标卡,477,560,433,163,941x1672
results,results/08_asset_chart.png,资产增长趋势图,30,740,882,286,941x1672
results,results/09_dividend_chart.png,年度分红现金流图,30,1044,882,296,941x1672
results,results/10_section_title.png,关键节点标题,34,1363,185,47,941x1672
results,results/11_milestone_one.png,第12年里程碑卡,35,1421,429,128,941x1672
results,results/12_milestone_two.png,第20年里程碑卡,477,1421,430,128,941x1672
results,results/13_adjust_button.png,调整方案按钮,36,1562,871,94,941x1672
calculator,calculator/01_back.png,返回箭头,36,38,41,44,941x1672
calculator,calculator/02_page_title.png,页面标题,385,39,178,44,941x1672
calculator,calculator/03_mini_program_menu.png,小程序菜单,714,35,204,62,941x1672
calculator,calculator/04_mode_selector.png,单只银行股与组合测算切换,52,145,837,83,941x1672
calculator,calculator/05_portfolio_selector.png,优质银行股组合选择器,53,260,834,144,941x1672
calculator,calculator/06_investment_plan.png,投入计划输入卡,54,434,833,630,941x1672
calculator,calculator/07_income_assumptions.png,收益假设与股息增长率选项,54,1095,833,417,941x1672
calculator,calculator/08_predict_button.png,查看现金流预测按钮,53,1534,836,106,941x1672
